6045781143624244|06|2029|312
6045781143621851|11|2028|532
6045781143621505|01|2025|027
6045781143628062|10|2029|450
6045781143624707|10|2029|711
6045781143626264|08|2031|953
6045781143622636|03|2028|071
6045781143626421|11|2028|284
6045781143628773|06|2028|247
6045781143626702|06|2025|687
6045781143622701|04|2028|789
6045781143627205|08|2031|266
6045781143626066|12|2030|815
6045781143626454|10|2031|719
6045781143628740|09|2024|241
6045781143627858|06|2029|124
6045781143627551|07|2026|116
6045781143625852|01|2029|189
6045781143620861|11|2027|456
6045781143623428|02|2029|705
6045781143620416|01|2026|170
6045781143623717|10|2029|543
6045781143620168|12|2029|766
6045781143620804|01|2032|974
6045781143625357|06|2027|954
6045781143620804|07|2026|238
6045781143624251|05|2025|910
6045781143625548|06|2030|955
6045781143624723|05|2032|928
6045781143626017|10|2026|102
6045781143627510|10|2032|434
6045781143621117|11|2028|940
6045781143620036|12|2025|304
6045781143624327|07|2031|752
6045781143621182|05|2031|462
6045781143621810|08|2025|610
6045781143622263|05|2032|837
6045781143624400|01|2032|583
6045781143625126|01|2032|379
6045781143623113|12|2029|257
6045781143622222|12|2031|329
6045781143625662|12|2032|922
6045781143623667|05|2032|467
6045781143625837|04|2027|930
6045781143624673|04|2031|050
6045781143627205|11|2032|005
6045781143623246|02|2024|989
6045781143621216|09|2031|196
6045781143626181|12|2030|113
6045781143622214|05|2032|737
6045781143621182|12|2029|990
6045781143623766|09|2030|743
6045781143621760|10|2027|608
6045781143628773|09|2031|604
6045781143622347|10|2024|208
6045781143624848|12|2024|247
6045781143622735|12|2032|845
6045781143621232|12|2029|706
6045781143624160|03|2031|386
6045781143620648|01|2029|442
6045781143623667|04|2025|698
6045781143620531|09|2031|578
6045781143622115|01|2025|776
6045781143628864|09|2031|627
6045781143620176|03|2027|471
6045781143624723|03|2025|322
6045781143624715|07|2032|579
6045781143620770|08|2027|323
6045781143625407|06|2026|782
6045781143625605|08|2032|656
6045781143627452|03|2028|051
6045781143623634|06|2030|690
6045781143620002|03|2025|610
6045781143626108|06|2026|311
6045781143624400|09|2032|597
6045781143621208|10|2028|646
6045781143624822|07|2027|477
6045781143622404|05|2028|106
6045781143628773|12|2032|105
6045781143622651|12|2031|524
6045781143620168|02|2027|149
6045781143625670|08|2026|700
6045781143626561|01|2024|312
6045781143627544|06|2030|011
6045781143625282|09|2026|111
6045781143622735|01|2031|243
6045781143620481|05|2032|207
6045781143620531|06|2031|701
6045781143628575|03|2026|720
6045781143622453|06|2030|758
6045781143625688|06|2024|299
6045781143628211|12|2028|545
6045781143623600|11|2030|500
6045781143623576|05|2029|193
6045781143624442|07|2024|222
6045781143620515|01|2026|711
6045781143625100|07|2027|641
6045781143623873|02|2030|218
6045781143623113|01|2027|845
6045781143628120|04|2024|232
6045781143621877|08|2030|486
6045781143620382|01|2028|513
6045781143621315|04|2027|588
6045781143620655|11|2028|399
6045781143621646|05|2031|748
6045781143620358|01|2029|801
6045781143625233|09|2032|559
6045781143621448|12|2027|167
6045781143621158|08|2032|423
6045781143620846|02|2029|727
6045781143625522|06|2032|212
6045781143628344|06|2026|489
6045781143625316|05|2026|729
6045781143624442|08|2027|781
6045781143628161|12|2028|171
6045781143621018|05|2025|059
6045781143621802|11|2028|812
6045781143620416|06|2029|318
6045781143624566|04|2028|240
6045781143622115|10|2028|099
6045781143624178|07|2031|818
6045781143621307|07|2028|555
6045781143626231|12|2028|775
6045781143621778|01|2032|374
6045781143624418|08|2031|549
6045781143623667|12|2029|711
6045781143620473|10|2030|957
6045781143620713|07|2025|636
6045781143623048|12|2029|219
6045781143627247|09|2028|958
6045781143627478|05|2031|228
6045781143627148|10|2029|743
6045781143628617|03|2027|465
6045781143626173|07|2024|955
6045781143621588|10|2028|726
6045781143623337|10|2031|379
6045781143625670|03|2031|128
6045781143620044|08|2027|399
6045781143625167|09|2028|595
6045781143620721|12|2032|548
6045781143624723|07|2031|792
6045781143623584|06|2030|474
6045781143622008|02|2025|538
6045781143623410|05|2029|100
6045781143624418|05|2030|678
6045781143620861|01|2028|335
6045781143621133|09|2030|051
6045781143626165|04|2028|612
6045781143621448|10|2025|046
6045781143625860|11|2028|810
6045781143628807|10|2025|123
6045781143627866|04|2028|110
6045781143626322|05|2024|122
6045781143622586|06|2024|811
6045781143626041|03|2029|011
6045781143624533|12|2024|439
6045781143627643|01|2028|098
6045781143628617|09|2029|217
6045781143623410|06|2032|392
6045781143628617|08|2028|782
6045781143627163|12|2028|992
6045781143623865|02|2030|229
6045781143626645|02|2024|778
6045781143623436|10|2026|733
6045781143627031|03|2028|328
6045781143622586|11|2032|665
6045781143622784|07|2025|644
6045781143624764|05|2030|592
6045781143622578|10|2027|344
6045781143626256|10|2030|394
6045781143620358|09|2025|261
6045781143623428|11|2028|303
6045781143626132|03|2027|621
6045781143626074|06|2030|751
6045781143624301|02|2026|258
6045781143621174|04|2029|351
6045781143621125|09|2031|450
6045781143625183|04|2030|819
6045781143620762|01|2027|784
6045781143623642|06|2024|062
6045781143623733|03|2027|371
6045781143621554|01|2029|937
6045781143627668|12|2032|241
6045781143628708|03|2031|750
6045781143620275|01|2024|587
6045781143626843|03|2028|970
6045781143624640|11|2029|968
6045781143625084|05|2026|550
6045781143627361|09|2029|361
6045781143625100|03|2025|083
6045781143625076|03|2031|330
6045781143626330|02|2024|503
6045781143625076|11|2029|866
6045781143620671|02|2028|446
6045781143623881|10|2025|379
6045781143620044|06|2024|535
6045781143627874|09|2030|718
6045781143620200|06|2029|813
6045781143628427|01|2024|952
6045781143627080|10|2031|224
6045781143623071|10|2029|836
6045781143620457|09|2030|438
6045781143625613|04|2025|032
6045781143625118|08|2024|867
6045781143622560|12|2031|161
6045781143623014|03|2032|795
6045781143620143|04|2024|202
6045781143626702|10|2030|669
6045781143625167|09|2030|263
